ID,AREA,MCD,COUNTY,MCD_NAME,TYPE,POP2000,SRTSFUNDED,SRTSUNFUND,STIPFUNDED,STIPUNFUND,TTLFUNDED,TTLUNFUND,POINT_X,POINT_Y
1417972.00000000000,1.71000000000,2709314878,27093,Dassel,City,1246.00000000000,1,1,0,0,1,1,-94.31401121840,45.08285156710
1413232.00000000000,3.22000000000,2708523948,27085,Glencoe,City,5471.00000000000,1,1,0,0,1,1,-94.14939794340,44.77014328170
858601.00000000000,1.46000000000,2716539230,27165,Madelia,City,2340.00000000000,1,0,0,0,1,0,-94.42015279360,44.04799406870
874292.00000000000,10.23000000000,2701546042,27015,New Ulm,City,13598.00000000000,1,0,0,0,1,0,-94.46701779300,44.31205529830
882198.00000000000,1.53000000000,2712906076,27129,Bird Island,City,1195.00000000000,1,0,1,0,2,0,-94.89428416850,44.76495077030
1407566.00000000000,34.41000000000,2714316426,27143,Dryden,Township,279.00000000000,0,0,2,0,2,0,-94.19369051890,44.58681152690
1407669.00000000000,0.69000000000,2714345376,27143,New Auburn,City,491.00000000000,0,0,1,0,1,0,-94.23569063130,44.67200786720
1401061.00000000000,4.87000000000,2707936746,27079,Le Sueur,City,3939.00000000000,1,1,2,2,3,3,-93.90058261140,44.46884831170
1401201.00000000000,1.09000000000,2714328394,27143,Henderson,City,911.00000000000,0,1,0,0,0,1,-93.90858931310,44.52797229220
417082.00000000000,2.42000000000,2716557040,27165,St. James,City,4677.00000000000,1,0,4,0,5,0,-94.62512753040,43.98343789470
913480.00000000000,9.01000000000,2708530644,27085,Hutchinson,City,13212.00000000000,1,1,1,0,2,1,-94.37635294980,44.88559429270
519714.00000000000,35.35000000000,2710159764,27101,Shetek,Township,313.00000000000,0,0,2,0,2,0,-95.64222778910,44.15237194470
519877.00000000000,2.22000000000,2708365308,27083,Tracy,City,2268.00000000000,0,1,1,0,1,1,-95.61607296820,44.23755521890
1340398.00000000000,1.67000000000,2714323300,27143,Gaylord,City,2280.00000000000,0,0,1,1,1,1,-94.22047463600,44.55265381430
1332112.00000000000,0.94000000000,2710346150,27103,Nicollet,City,889.00000000000,0,1,0,0,0,1,-94.18837006950,44.27434781950
1324046.00000000000,1.72000000000,2701334190,27013,Lake Crystal,City,2412.00000000000,1,0,0,0,1,0,-94.21859693600,44.10528314750
1309094.00000000000,54.64000000000,2710954880,27109,Rochester,City,89718.00000000000,3,1,4,3,7,4,-92.47797517640,44.01549170980
1273369.00000000000,2.90000000000,2710909154,27109,Byron,City,3492.00000000000,1,1,0,0,1,1,-92.64310445530,44.04121998640
1254627.00000000000,2.08000000000,2703915994,27039,Dodge Center,City,2231.00000000000,0,1,0,0,0,1,-92.85078763600,44.02865045420
1999066.00000000000,7.04000000000,2713146924,27131,Northfield,City,16672.00000000000,1,1,1,2,2,3,-93.16450618130,44.45082996530
1999234.00000000000,14.76000000000,2703759008,27037,Sciota,Township,285.00000000000,0,0,0,1,0,1,-93.06981234870,44.50771951890
1110648.00000000000,27.51000000000,2709766028,27097,Two Rivers,Township,582.00000000000,0,0,1,0,1,0,-94.40621786750,45.79348839760
336330.00000000000,1.28000000000,2706334316,27063,Lakefield,City,1725.00000000000,2,1,3,0,5,1,-95.16964331850,43.67777539990
268414.00000000000,4.17000000000,2711751388,27117,Pipestone,City,4275.00000000000,2,0,2,0,4,0,-96.31144279280,43.99553413480
307010.00000000000,1.95000000000,2710160808,27101,Slayton,City,2071.00000000000,0,1,0,0,0,1,-95.75140262730,43.98931977700
246654.00000000000,0.54000000000,2713329204,27133,Hills,City,565.00000000000,0,1,0,0,0,1,-96.35817552900,43.52587796480
246786.00000000000,0.49000000000,2713304492,27133,Beaver Creek,City,250.00000000000,2,0,0,0,2,0,-96.36227530600,43.61261851150
312932.00000000000,8.72000000000,2710571734,27105,Worthington,City,11284.00000000000,1,1,4,2,5,3,-95.61556645140,43.62147451000
255120.00000000000,3.68000000000,2713338564,27133,Luverne,City,4620.00000000000,1,1,1,0,2,1,-96.21477402010,43.65338831540
320029.00000000000,1.36000000000,2710507660,27105,Brewster,City,502.00000000000,0,1,0,0,0,1,-95.46452605510,43.69721520190
349176.00000000000,36.17000000000,2706343108,27063,Minneota,Township,285.00000000000,0,0,1,0,1,0,-95.15502667720,43.54424978000
370357.00000000000,1.54000000000,2703344566,27033,Mountain Lake,City,2083.00000000000,1,1,2,0,3,1,-94.92748275080,43.94141814220
370408.00000000000,34.38000000000,2703342002,27033,Midway,Township,296.00000000000,0,0,1,0,1,0,-94.91899969160,43.97920812590
363229.00000000000,4.33000000000,2703370798,27033,Windom,City,4501.00000000000,1,0,1,0,2,0,-95.12054163920,43.87391241470
356355.00000000000,4.59000000000,2706331562,27063,Jackson,City,3505.00000000000,1,1,3,1,4,2,-94.98840564710,43.61998767830
389683.00000000000,35.61000000000,2716538024,27165,Long Lake,Township,346.00000000000,0,0,0,1,0,1,-94.67902412720,43.89210314470
1039054.00000000000,33.50000000000,2709314860,27093,Darwin,Township,683.00000000000,0,0,2,0,2,0,-94.47205485830,45.10935127590
1044984.00000000000,2.14000000000,2709314842,27093,Darwin,City,297.00000000000,0,1,0,0,0,1,-94.41305463750,45.09641719650
688378.00000000000,1.57000000000,2712162500,27121,Starbuck,City,1315.00000000000,0,0,2,1,2,1,-95.53331285680,45.61203703820
680743.00000000000,3.01000000000,2715105212,27151,Benson,City,3392.00000000000,1,0,2,0,3,0,-95.60702988640,45.31488366870
1034099.00000000000,5.39000000000,2709337448,27093,Litchfield,City,6583.00000000000,0,1,0,0,0,1,-94.52536830040,45.12217031910
611954.00000000000,2.04000000000,2715101864,27151,Appleton,City,2871.00000000000,1,0,2,0,3,0,-96.02331384040,45.19970427290
655635.00000000000,1.23000000000,2702342146,27023,Milan,City,327.00000000000,0,0,1,0,1,0,-95.91448981440,45.11154687880
789473.00000000000,1.22000000000,2712944368,27129,Morton,City,442.00000000000,0,0,1,0,1,0,-94.98482344780,44.55332496120
935108.00000000000,15.92000000000,2706770420,27067,Willmar,City,18420.00000000000,1,1,0,0,1,1,-95.04820477780,45.12328533040
963811.00000000000,5.84000000000,2712124074,27121,Glenwood,City,2597.00000000000,1,1,1,0,2,1,-95.33853637590,45.66134113860
973127.00000000000,16.66000000000,2704100928,27041,Alexandria,City,10677.00000000000,2,1,2,1,4,2,-95.38024255960,45.87279844570
